Component,Description,Part,References,Value,Footprint,Quantity Per PCB,ORDER,MP,,Datasheet,MF,Package,Price,Availability,Digi-Key_Purchase_URL,Digi-Key_Part_Number,Field8,Field4,Field7,Field6,Field5
91,Single 2-Input Positive-AND Gate 5-SC70 -40 to 125,SN74LVC1G08DCKR,U12,SN74LVC1G08DCKR,SOT65P210X110-5N,1,10,SN74LVC1G08DCKR,ok,SC-70-5 Texas Instruments,Texas Instruments,,,,,,,,,,
92,"800mA Low-Dropout Linear Regulator, 1.8V fixed output, TO-220/TO-252/TO-263/SOT-223",TLV1117-15,U13,TLV1117-15,SOT-223,1,5,TLV1117-15IDCYR,ok,,,,,,,,,,,,
93,"200 mA Low Dropout Voltage Regulator, Fixed Output 1.2V, SOT-23-5",TLV70012_SOT23-5,U5,TLV74311PDBVR,SOT-23-5,1,11,TLV74311PDBVR,ok,,,,,,,,,,,,
94,,TPS2044BDR,U15,TPS2044BDR,SOIC127P600X175-16N,1,8,TPS2044BDR,ok,,,,,,,,,,,,
95,TPS6123x 8-A Valley Current Synchronous Boost Converters with Constant Current Output Feature 9-VQFN-HR -40 to 85,TPS61235RWLR,U3,TPS61235RWLR,CONV_TPS61235RWLR,1,10,TPS61235RWLR,ok,,Texas Instruments,VQFN-9 Texas Instruments,,,,,,,,,
96,Four-Port USB 2.0 Hub 64-HTQFP -40 to 85,TUSB4041IPAPR,U9,TUSB4041IPAPR,QFP50P1200X1200X105-65N,1,10,TUSB4041IPAPR,ok,Texas Instruments,,HTQFP-64 Texas Instruments,,,,,,,,,
97,,MPCIE-Socket,U8,WWAN USB2.0,MOLEX_67910-5700,1,28,67910-5700,ok,,,,,,,,,,,,
98,,MPCIE-Socket,U1,mPCIE 2.0,MOLEX_67910-5700,1,0,---,ok,,,,,,,,,,,,
99,,MPCIE-Socket,U7,mSATA II,MOLEX_67910-5700,1,0,---,ok,,,,,,,,,,,,
100,"Two pin crystal, small symbol",Crystal_Small,Y1,24MHz,Crystal_SMD_5032-2pin_5.0x3.2mm_HandSoldering,1,10,445I23D24M00000,ok,,,,,,,,,,,,
,,,,,Power Switch,1,15,500SSP1S1M1QEB,,,,,,,,,,,,,
